,,,,,Passing,,,,,,,,,Rushing,,,
20,Rocky Perez,UTEP,WAC,11,200,338,59.2,2661,7.9,8.6,26,6,147.1,74,82,1.1,6
21,Tim Hasselbeck,Boston College,Big East,10,124,229,54.1,1810,7.9,7.5,16,9,135.7,39,141,3.6,1
22,Matt Newton,Colorado State,MWC,11,198,334,59.3,2609,7.8,7.3,20,13,136.9,39,-151,-3.9,0
23,Major Applewhite,Texas,Big 12,9,152,279,54.5,2164,7.8,7.9,18,7,135.9,28,-73,-2.6,1
24,Wayne Madkin,Mississippi State,SEC,11,138,246,56.1,1908,7.8,6.9,8,8,125.5,69,179,2.6,5
25,Dan Ellis,Virginia,ACC,9,116,210,55.2,1642,7.8,7.6,7,4,128.1,56,81,1.4,1
26,Calvin McCall,Maryland,ACC,9,105,199,52.8,1533,7.7,6.2,5,9,116.7,52,58,1.1,1
27,Josh Heupel*,Oklahoma,Big 12,13,305,472,64.6,3606,7.6,7.1,20,15,136.4,83,167,2,7
28,Ronald Curry,North Carolina,ACC,11,163,304,53.6,2325,7.6,6.6,11,12,121.9,119,351,2.9,6
29,Casey Clausen,Tennessee,SEC,9,121,194,62.4,1473,7.6,7.7,15,6,145.5,40,-42,-1.1,0
30,David Garrard,East Carolina,CUSA,11,164,312,52.6,2332,7.5,7.1,19,11,128.4,135,358,2.7,5
31,Steve Bellisari*,Ohio State,Big Ten,12,163,310,52.6,2319,7.5,6.4,13,13,120.9,107,179,1.7,1
32,Lon Sheriff,San Diego State,MWC,10,155,290,53.4,2163,7.5,6.2,6,11,115.3,54,-162,-3,1
33,Jose Fuentes,Utah State,Big West,10,194,368,52.7,2709,7.4,7.3,16,8,124.6,38,-87,-2.3,0
34,Dave Ragone,Louisville,CUSA,11,216,354,61,2621,7.4,7.5,27,11,142.2,101,252,2.5,6
35,Mark Farris,Texas A&M,Big 12,11,208,347,59.9,2551,7.4,6.8,10,9,126,60,116,1.9,2
36,David Carr,Fresno State,WAC,11,194,316,61.4,2338,7.4,7,18,11,135.4,65,80,1.2,4
37,Jesse Palmer,Florida,SEC,10,116,223,52,1653,7.4,7.6,11,4,127,36,-51,-1.4,6
38,Byron Leftwich,Marshall,MAC,12,279,457,61.1,3358,7.3,7.4,21,9,134,82,83,1,1
39,Joey Harrington*,Oregon,Pac-10,12,214,405,52.8,2967,7.3,6.9,22,14,125.4,66,124,1.9,7
40,Patrick Ramsey,Tulane,CUSA,10,229,389,58.9,2833,7.3,6.9,24,14,133.2,39,53,1.4,2
41,Phil Petty*,South Carolina,SEC,12,170,315,54,2285,7.3,6.3,8,10,116.9,60,59,1,0
42,Josh Booty,LSU,SEC,10,145,290,50,2121,7.3,6.2,17,15,120.4,26,0,0,0
43,Drew Brees*,Purdue,Big Ten,12,309,512,60.4,3668,7.2,7.1,26,12,132.6,95,521,5.5,5
44,Jeff Welsh,Western Michigan,MAC,12,207,354,58.5,2537,7.2,6.5,15,12,125.9,72,16,0.2,2
45,Marcus Arroyo,San Jose State,WAC,12,166,326,50.9,2334,7.2,6.7,15,10,120.1,27,-37,-1.4,2
46,Brooks Bollinger,Wisconsin,Big Ten,12,110,209,52.6,1479,7.1,6.5,10,7,121.2,157,459,2.9,6
47,Carson Palmer,USC,Pac-10,12,228,415,54.9,2914,7,5.8,16,18,118,63,5,0.1,2
48,Jeff Kelly,Southern Mississippi,CUSA,11,198,341,58.1,2381,7,6.5,15,10,125.4,148,54,0.4,4
49,Wes Counts,Middle Tennessee State,Ind,11,127,218,58.3,1536,7,6.7,8,5,125,38,33,0.9,0
50,Philip Rivers,North Carolina State,ACC,11,237,441,53.7,3054,6.9,7,25,10,126.1,73,-87,-1.2,2
51,Greg Zolman,Vanderbilt,SEC,11,187,354,52.8,2441,6.9,5.9,13,14,115,46,-62,-1.3,1
52,Sage Rosenfels,Iowa State,Big 12,11,172,333,51.7,2298,6.9,5.8,8,12,110.3,78,381,4.9,10
53,Jeff Krohn*,Arizona State,Pac-10,10,125,254,49.2,1751,6.9,6.8,12,6,118,56,5,0.1,0
54,Talmadge Hill,Ball State,MAC,11,130,212,61.3,1455,6.9,5.5,13,12,127.9,88,256,2.9,1
55,Jeff Smoker,Michigan State,Big Ten,9,103,197,52.3,1365,6.9,5.9,6,7,113.4,73,-5,-0.1,2
56,Ben Leard,Auburn,SEC,12,193,319,60.5,2158,6.8,6.1,12,10,123.5,33,-87,-2.6,3
57,Marquel Blackwell,South Florida,Ind,11,171,296,57.8,2016,6.8,7.1,13,4,126.8,128,566,4.4,3
58,Romaro Miller,Ole Miss,SEC,11,161,295,54.6,2012,6.8,6.2,18,12,123.9,24,87,3.6,0
59,Kurt Kittner,Illinois,Big Ten,10,173,297,58.2,1982,6.7,6.7,18,8,128.9,44,61,1.4,2
60,Brad Lewis,West Virginia,Big East,10,108,223,48.4,1501,6.7,6,8,7,110.5,35,-26,-0.7,1
61,Devin Scott,Temple,Big East,11,136,216,63,1456,6.7,5.7,5,7,120.7,69,-6,-0.1,1
62,Jared Lorenzen,Kentucky,SEC,11,321,559,57.4,3687,6.6,5.6,19,21,116.5,76,140,1.8,5
63,Josh Blankenship,Tulsa,WAC,12,196,379,51.7,2507,6.6,5.8,9,11,109.3,81,-19,-0.2,1
64,Zak Kustok*,Northwestern,Big Ten,12,206,363,56.7,2389,6.6,6.8,19,7,125.4,166,505,3,9
65,David Neill,Nevada,WAC,11,179,353,50.7,2334,6.6,5.8,13,12,111.6,103,131,1.3,4
66,Marques Tuiasosopo,Washington,Pac-10,11,170,323,52.6,2146,6.6,6,14,11,115.9,126,394,3.1,6
67,Rudy Caamano,New Mexico,MWC,12,107,192,55.7,1270,6.6,6.1,11,7,122.9,109,86,0.8,1
68,Timmy Chang,Hawaii,WAC,10,245,469,52.2,3041,6.5,5.5,19,19,112,23,-49,-2.1,2
69,Rashard Casey,Penn State,Big Ten,12,163,309,52.8,2001,6.5,6.2,14,8,116.9,112,315,2.8,5
70,Cleo Lemon,Arkansas State,Big West,11,173,306,56.5,1964,6.4,6.2,13,7,119.9,44,-48,-1.1,2
71,Dylen Smith,Kansas,Big 12,11,140,306,45.8,1963,6.4,5.5,10,11,103.2,125,371,3,9
72,Antwaan Randle El,Indiana,Big Ten,11,133,277,48,1783,6.4,4.9,10,14,103.9,218,1270,5.8,13
73,Jason McKinley,Houston,CUSA,11,251,428,58.6,2696,6.3,5.6,14,13,116.3,73,-131,-1.8,1
74,Mike Bath,Miami (OH),MAC,11,189,384,49.2,2415,6.3,5,13,17,104.4,78,279,3.6,3
75,Mike McMahon,Rutgers,Big East,10,169,340,49.7,2157,6.3,5.2,18,17,110.5,68,243,3.6,3
76,Deontey Kenner*,Cincinnati,CUSA,10,156,304,51.3,1906,6.3,5.6,10,9,108.9,32,6,0.2,2
77,Ortege Jenkins,Arizona,Pac-10,11,123,261,47.1,1647,6.3,4.9,9,12,102.3,133,166,1.2,5
78,Andrew Zow,Alabama,SEC,10,120,249,48.2,1561,6.3,4.2,6,14,97.6,53,42,0.8,2
79,Aso Pogi,Oklahoma State,Big 12,10,139,247,56.3,1550,6.3,4.8,6,11,108.1,85,159,1.9,6
80,Charlie Peterson,Brigham Young,MWC,10,149,260,57.3,1617,6.2,5.8,6,5,113.3,38,-78,-2.1,1
81,K.C. Enzminger,New Mexico State,Big West,11,111,236,47,1454,6.2,5.9,15,8,113,136,450,3.3,1
82,Darius Outlaw,Missouri,Big 12,10,105,225,46.7,1391,6.2,3.8,9,16,97.6,110,259,2.4,5
83,Kyle Boller,California,Pac-10,11,163,349,46.7,2121,6.1,5.3,15,13,104.5,65,-44,-0.7,2
84,Joe Freedy,Buffalo,MAC,11,184,338,54.4,2060,6.1,4.5,14,18,108.7,55,-190,-3.5,2
85,Andy Sahm,Bowling Green State,MAC,11,123,244,50.4,1490,6.1,5.1,8,9,105.1,81,-76,-0.9,3
86,Josh McCown,SMU,WAC,11,169,331,51.1,1969,5.9,4.3,9,16,100.3,78,175,2.2,3
87,Robby Hampton,Arkansas,SEC,10,145,261,55.6,1548,5.9,5.5,13,8,115.7,29,-19,-0.7,1
88,Derrick Vickers,Central Michigan,MAC,10,83,180,46.1,1059,5.9,5.4,7,5,102.8,60,54,0.9,1
89,Kliff Kingsbury,Texas Tech,Big 12,12,362,585,61.9,3418,5.8,5.3,21,17,117,78,19,0.2,2
90,Walter Church,Eastern Michigan,MAC,11,238,399,59.6,2326,5.8,5.5,11,8,113.7,27,-90,-3.3,0
91,Tavares Bolden,Toledo,MAC,11,161,283,56.9,1597,5.6,5.9,13,4,116.6,73,390,5.3,5
92,Jay Stoner,Wyoming,MWC,9,171,275,62.2,1552,5.6,4.4,10,12,112.9,53,-175,-3.3,0
93,D. Bryant,Duke,ACC,11,129,258,50,1448,5.6,4.3,5,10,95.8,79,-96,-1.2,1
94,Zach Williams,Kent State,MAC,9,114,213,53.5,1120,5.3,3.9,4,8,96.4,32,-27,-0.8,1
