,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Stefan Lefors*,Louisville,CUSA,12,189,257,73.5,2596,10.1,11.1,20,3,181.7,71,333,4.7,3
2,Jason Campbell*,Auburn,SEC,13,188,270,69.6,2700,10,10.3,20,7,172.9,58,30,0.5,3
3,Alex Smith*,Utah,MWC,12,214,317,67.5,2952,9.3,10.8,32,4,176.5,135,631,4.7,10
4,Jared Zabransky*,Boise State,WAC,12,206,327,63,2927,9,8.3,16,12,147,130,326,2.5,13
5,Bruce Gradkowski*,Toledo,MAC,13,280,399,70.2,3518,8.8,9.3,27,8,162.6,91,191,2.1,9
6,Jared Allen,Florida Atlantic,Sun Belt,12,177,291,60.8,2554,8.8,8.4,13,8,143.8,63,-13,-0.2,2
7,Omar Jacobs*,Bowling Green State,MAC,12,309,462,66.9,4002,8.7,10,41,4,167.2,95,300,3.2,4
8,Donovan Woods*,Oklahoma State,Big 12,12,97,187,51.9,1628,8.7,8.9,13,5,142.6,123,436,3.5,10
9,Darrell Hackney*,UAB,CUSA,12,197,358,55,3070,8.6,9,26,8,146.6,81,-44,-0.5,2
10,David Greene*,Georgia,SEC,12,175,299,58.5,2508,8.4,9.1,20,4,148.4,23,-67,-2.9,1
11,Jason White*,Oklahoma,Big 12,13,255,390,65.4,3205,8.2,9,35,9,159.4,23,-56,-2.4,0
12,Matt Leinart*,USC,Pac-10,13,269,412,65.3,3322,8.1,9,33,6,156.5,49,-44,-0.9,3
13,Reggie McNeal*,Texas A&M,Big 12,12,200,344,58.1,2791,8.1,8.4,14,4,137.4,151,718,4.8,8
14,Aaron Rodgers*,California,Pac-10,12,209,316,66.1,2566,8.1,8.5,24,8,154.3,74,126,1.7,3
15,Lester Ricard,Tulane,CUSA,9,143,231,61.9,1881,8.1,8.2,21,9,152.5,36,14,0.4,0
16,Chris Leak*,Florida,SEC,12,238,399,59.6,3197,8,8.1,29,12,144.9,61,79,1.3,2
17,Bryan Cupito*,Minnesota,Big Ten,12,123,261,47.1,2097,8,7.9,14,7,127,29,42,1.4,0
18,Josh Betts*,Miami (OH),MAC,13,267,442,60.4,3495,7.9,7.5,23,14,137.7,83,86,1,3
19,Kyle Orton*,Purdue,Big Ten,11,236,389,60.7,3090,7.9,9,31,5,151.1,80,112,1.4,3
20,Buck Pierce,New Mexico State,Sun Belt,11,191,285,67,2253,7.9,8.2,16,5,148.4,71,130,1.8,2
21,Matt Jones,Arkansas,SEC,11,151,264,57.2,2073,7.9,6.9,15,12,132.8,83,622,7.5,6
22,Brandon Hassell,Texas Christian,CUSA,10,123,217,56.7,1724,7.9,8.2,10,3,135.9,63,106,1.7,4
23,Kevin Kolb,Houston,CUSA,11,198,353,56.1,2766,7.8,7.7,11,6,128.8,118,51,0.4,5
24,Marques Hagans*,Virginia,ACC,12,164,261,62.8,2024,7.8,7.6,9,5,135.5,77,394,5.1,4
25,Jordan Palmer*,UTEP,WAC,12,213,366,58.2,2818,7.7,6.9,26,18,136.5,46,-17,-0.4,1
26,Brock Berlin*,Miami (FL),ACC,12,195,348,56,2680,7.7,8.2,22,6,138.1,42,-53,-1.3,0
27,Gino Guidugli*,Cincinnati,CUSA,11,210,342,61.4,2633,7.7,8.2,26,8,146.5,43,90,2.1,1
28,Jay Cutler,Vanderbilt,SEC,11,147,241,61,1844,7.7,7.5,10,5,134.8,109,349,3.2,6
29,Scott Hall*,North Texas,Sun Belt,12,134,237,56.5,1818,7.7,8.1,14,4,137.1,61,11,0.2,1
30,Dale Rogers,San Jose State,WAC,11,96,181,53,1389,7.7,7,12,8,130.5,82,124,1.5,6
