,,,,,Passing,,,,,,,,,Rushing,,,
31,Charlie Frye,Akron,MAC,11,220,346,63.6,2623,7.6,7.6,18,8,139.8,100,-6,-0.1,2
32,Tyler Palko*,Pitt,Big East,12,230,409,56.2,3067,7.5,7.9,24,7,135.2,129,139,1.1,3
33,Clint Marks,Middle Tennessee State,Sun Belt,11,259,368,70.4,2749,7.5,6.5,14,14,138.1,73,113,1.5,1
34,Drew Olson*,UCLA,Pac-10,12,196,341,57.5,2565,7.5,7,20,13,132.4,53,106,2,0
35,John Beck,Brigham Young,MWC,11,192,343,56,2563,7.5,7.3,15,8,128.5,90,-36,-0.4,0
36,Darian Durant*,North Carolina,ACC,12,178,299,59.5,2238,7.5,7.3,17,9,135.1,81,188,2.3,1
37,Matt Kubik,Louisiana Tech,WAC,12,123,242,50.8,1818,7.5,6.5,10,10,119.3,66,162,2.5,2
38,Steven Moffett,UCF,MAC,10,147,229,64.2,1721,7.5,6.3,9,10,131.6,107,6,0.1,2
39,Sonny Cumbie*,Texas Tech,Big 12,12,421,642,65.6,4742,7.4,7.1,32,18,138.5,52,-167,-3.2,2
40,Andrew Walter*,Arizona State,Pac-10,11,244,426,57.3,3150,7.4,7.9,30,9,138.4,58,-112,-1.9,0
41,Drew Tate*,Iowa,Big Ten,12,233,375,62.1,2786,7.4,6.8,20,14,134.7,89,-76,-0.9,2
42,Bryan Randall*,Virginia Tech,ACC,13,170,306,55.6,2264,7.4,7.4,21,9,134.5,136,511,3.8,3
43,Vince Young*,Texas,Big 12,12,148,250,59.2,1849,7.4,6.4,12,11,128.4,167,1079,6.5,14
44,Dan Orlovsky*,Connecticut,Big East,12,288,457,63,3354,7.3,6.9,23,15,134.7,32,-41,-1.3,0
45,Danny Wimprine*,Memphis,CUSA,12,225,398,56.5,2892,7.3,6.8,22,14,128.8,57,112,2,2
46,Paul Peterson*,Boston College,Big East,11,221,355,62.3,2594,7.3,7.1,18,10,134.7,68,63,0.9,1
47,Brady Quinn*,Notre Dame,Ind,12,191,353,54.1,2586,7.3,7,17,10,125.9,54,-4,-0.1,3
48,Drew Stanton,Michigan State,Big Ten,10,141,220,64.1,1601,7.3,6.8,8,6,131.8,96,687,7.2,5
49,Corey Bramlet*,Wyoming,MWC,12,195,334,58.4,2409,7.2,6.2,12,13,123,124,209,1.7,4
50,Paul Pinegar*,Fresno State,WAC,12,173,292,59.2,2099,7.2,6.5,23,15,135.3,46,99,2.2,3
51,Matt LoVecchio,Indiana,Big Ten,11,153,271,56.5,1951,7.2,7,13,7,127.6,93,112,1.2,2
52,Timmy Chang*,Hawaii,WAC,13,358,602,59.5,4258,7.1,7.4,38,13,135.4,37,15,0.4,2
53,Derek Anderson*,Oregon State,Pac-10,12,279,515,54.2,3615,7,6.7,29,17,125.1,75,-152,-2,2
54,Ryan Hart,Rutgers,Big East,11,295,453,65.1,3154,7,5.8,17,19,127.6,46,-93,-2,1
55,Ethan Flatt,Ole Miss,SEC,10,123,220,55.9,1530,7,5.5,6,10,114.2,22,-60,-2.7,0
56,Chad Henne*,Michigan,Big Ten,12,240,399,60.2,2743,6.9,6.8,25,12,132.6,55,-137,-2.5,2
57,Kent Smith,Central Michigan,MAC,11,188,333,56.5,2284,6.9,6.7,16,8,125.1,112,351,3.1,10
58,Dustin Almond*,Southern Mississippi,CUSA,10,138,269,51.3,1848,6.9,6.8,12,6,119.3,58,61,1.1,5
59,Tony Eckert,SMU,WAC,11,111,203,54.7,1406,6.9,4.6,6,13,109.8,28,-107,-3.8,1
60,Kellen Clemens,Oregon,Pac-10,11,223,372,59.9,2548,6.8,6.8,22,10,131.6,118,190,1.6,4
61,Joel Statham,Maryland,ACC,10,126,234,53.8,1590,6.8,4.6,8,15,109.4,62,87,1.4,1
62,Jeff Rowe,Nevada,WAC,12,230,394,58.4,2633,6.7,6.1,15,12,121,77,129,1.7,3
63,James Kilian,Tulsa,WAC,12,184,337,54.6,2247,6.7,5.3,13,16,113.8,150,282,1.9,8
64,Nick Noce,Arkansas State,Sun Belt,11,164,315,52.1,2115,6.7,5.3,13,16,111.9,88,249,2.8,3
65,Jay Davis,North Carolina State,ACC,11,175,313,55.9,2104,6.7,5.3,12,15,115.4,43,-119,-2.8,1
66,Alex Brink,Washington State,Pac-10,11,97,194,50,1305,6.7,6.3,7,5,113.3,49,-50,-1,1
67,Joshua Cribbs,Kent State,MAC,10,216,335,64.5,2215,6.6,6.8,17,6,133.2,170,893,5.3,9
68,Walter Washington,Temple,Big East,11,187,332,56.3,2207,6.6,6.4,10,6,118.5,222,889,4,15
69,Bret Meyer*,Iowa State,Big 12,12,149,290,51.4,1926,6.6,6.4,10,6,114.4,144,331,2.3,2
70,Wyatt Sexton*,Florida State,ACC,10,139,252,55.2,1661,6.6,5.8,8,8,114.7,41,-94,-2.3,0
71,Matt Bohnet,Eastern Michigan,MAC,11,228,434,52.5,2807,6.5,6.2,21,12,117.3,100,424,4.2,0
72,Joel Klatt*,Colorado,Big 12,13,216,367,58.9,2398,6.5,5.3,11,15,115.5,46,-58,-1.3,2
73,Michael Harrington,Idaho,Sun Belt,12,225,342,65.8,2222,6.5,5.8,12,11,125.5,60,-133,-2.2,1
74,James Pinkney,East Carolina,CUSA,11,190,339,56,2195,6.5,5.5,18,15,119.1,66,-2,0,0
75,Reggie Ball*,Georgia Tech,ACC,12,164,330,49.7,2147,6.5,5,16,18,109.4,130,332,2.6,2
76,Joe Dailey,Nebraska,Big 12,11,153,310,49.4,2025,6.5,4.9,17,19,110.1,53,55,1,4
77,Dylan Meier,Kansas State,Big 12,10,127,220,57.7,1436,6.5,6.3,9,5,121.5,81,232,2.9,6
78,Perry Patterson*,Syracuse,Big East,12,168,289,58.1,1851,6.4,5.3,7,10,113,72,143,2,3
79,Zack Mills,Penn State,Big Ten,10,155,268,57.8,1722,6.4,5.1,9,12,113.9,51,72,1.4,4
80,Pat Julmiste,South Florida,CUSA,11,118,247,47.8,1570,6.4,5.5,7,8,104,96,193,2,9
81,Steven Jyles,Louisiana-Monroe,Sun Belt,11,204,366,55.7,2322,6.3,5.5,12,12,113.3,150,587,3.9,8
82,Trent Edwards,Stanford,Pac-10,9,148,271,54.6,1718,6.3,5.2,9,11,110.7,58,32,0.6,1
83,Brett Basanez,Northwestern,Big Ten,12,247,460,53.7,2838,6.2,5.8,12,9,110.2,83,258,3.1,5
84,John Stocco*,Wisconsin,Big Ten,12,169,321,52.6,1999,6.2,5.8,9,7,109.8,56,-20,-0.4,4
85,Travis Cox,Utah State,Sun Belt,11,179,306,58.5,1908,6.2,4.5,10,16,111.2,114,63,0.6,2
86,Jerry Babb,Louisiana,Sun Belt,11,223,385,57.9,2345,6.1,5.2,12,13,112.6,101,498,4.9,4
87,Kole McKamey*,New Mexico,MWC,11,103,210,49,1272,6.1,4.7,6,9,100.8,128,416,3.3,6
88,Stan Hill*,Marshall,MAC,12,233,397,58.7,2387,6,5.3,18,14,117.1,59,-91,-1.5,0
89,Ryan Hawk,Ohio,MAC,11,137,262,52.3,1585,6,5.8,10,6,111.1,91,-16,-0.2,2
90,Mike Schneider,Duke,ACC,11,150,253,59.3,1527,6,5.4,8,7,114.9,72,-59,-0.8,2
91,Brad Smith,Missouri,Big 12,11,191,369,51.8,2185,5.9,5.5,17,11,110.7,165,553,3.4,4
92,Charlie Whitehurst,Clemson,ACC,11,177,349,50.7,2067,5.9,4.1,7,17,97.3,81,43,0.5,1
93,Omarr Conner,Mississippi State,SEC,9,107,206,51.9,1224,5.9,5,6,7,104.7,67,115,1.7,1
94,Kevin O'Connell,San Diego State,MWC,9,115,236,48.7,1328,5.6,4.7,9,9,101,73,347,4.8,1
95,Casey Paus,Washington,Pac-10,11,116,274,42.3,1476,5.4,3,5,17,81.2,38,-63,-1.7,0
96,Shane Steichen,UNLV,MWC,9,92,187,49.2,1011,5.4,3.7,7,10,96.3,20,2,0.1,2
97,Shane Boyd,Kentucky,SEC,10,138,263,52.5,1328,5,4,7,9,96.8,102,297,2.9,5
