,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Rex Grossman,Florida,SEC,11,259,395,65.6,3896,9.9,10.2,34,12,170.8,34,8,0.2,5
2,Jeff Smoker*,Michigan State,Big Ten,11,166,262,63.4,2579,9.8,10.1,21,8,166.4,81,-58,-0.7,2
3,Chris Rix,Florida State,ACC,11,165,286,57.7,2734,9.6,9.2,24,13,156.6,99,389,3.9,3
4,Ryan Dinwiddie,Boise State,WAC,11,201,322,62.4,3043,9.5,9.7,29,11,164.7,71,97,1.4,3
5,David Carr*,Fresno State,WAC,14,344,533,64.5,4839,9.1,10,46,9,165.9,94,67,0.7,5
6,Rohan Davey,LSU,SEC,12,217,367,59.1,3347,9.1,8.9,18,10,146.5,38,4,0.1,0
7,Jeff Krohn,Arizona State,Pac-10,10,115,213,54,1942,9.1,9.4,19,7,153.4,46,-15,-0.3,1
8,Wes Counts,Middle Tennessee State,Sun Belt,11,188,259,72.6,2327,9,9.6,17,4,166.6,67,144,2.1,3
9,Cory Paus,UCLA,Pac-10,10,101,194,52.1,1740,9,7.9,8,8,132.8,39,-163,-4.2,1
10,Byron Leftwich,Marshall,MAC,12,315,470,67,4132,8.8,9.7,38,7,164.6,64,92,1.4,2
11,Brandon Doman,Brigham Young,MWC,13,261,408,64,3542,8.7,9.4,33,8,159.7,141,503,3.6,8
12,David Greene,Georgia,SEC,11,192,324,59.3,2789,8.6,8.4,17,9,143.3,47,41,0.9,1
13,Steve Bellisari,Ohio State,Big Ten,9,98,185,53,1599,8.6,8,8,6,133.4,72,97,1.3,2
14,Casey Clausen,Tennessee,SEC,12,227,354,64.1,2969,8.4,8.5,22,9,150,64,-36,-0.6,3
15,Nick Rolovich,Hawaii,WAC,10,233,405,57.5,3361,8.3,9,34,9,150.5,49,4,0.1,0
16,Ken Dorsey,Miami (FL),Big East,11,184,318,57.9,2652,8.3,8.5,23,9,146.1,12,3,0.3,0
17,Darian Durant,North Carolina,ACC,12,142,223,63.7,1843,8.3,7.8,17,10,149.3,58,128,2.2,2
18,Ryan Schneider,UCF,Ind,11,204,357,57.1,2923,8.2,8,17,9,136.6,37,-44,-1.2,4
19,Ben Roethlisberger,Miami (OH),MAC,12,241,381,63.3,3105,8.1,7.9,25,13,146.5,120,189,1.6,3
20,Gino Guidugli,Cincinnati,CUSA,10,185,317,58.4,2573,8.1,7.8,16,9,137.5,47,-75,-1.6,1
21,George Godsey,Georgia Tech,ACC,12,249,384,64.8,3085,8,7.7,18,11,142.1,66,-45,-0.7,4
22,Dave Ragone,Louisville,CUSA,12,231,383,60.3,3056,8,8.4,23,7,143.5,92,66,0.7,3
23,Jason Gesser*,Washington State,Pac-10,12,199,375,53.1,3010,8,7.9,26,13,136.4,86,101,1.2,2
24,Kurt Kittner,Illinois,Big Ten,11,207,374,55.3,2994,8,7.7,23,13,135.9,38,-4,-0.1,2
25,Cody Pickett,Washington,Pac-10,10,169,301,56.1,2403,8,6.6,10,14,124.9,83,60,0.7,5
26,Tavares Bolden,Toledo,MAC,10,200,291,68.7,2331,8,8.1,13,5,147.3,62,236,3.8,3
27,Kyle McCann*,Iowa,Big Ten,12,167,252,66.3,2028,8,7.4,16,11,146.1,58,78,1.3,3
28,Eric Crouch,Nebraska,Big 12,12,105,189,55.6,1510,8,6.3,7,10,124.3,203,1115,5.5,18
29,Kevin Fant,Mississippi State,SEC,9,94,170,55.3,1352,8,6.5,8,9,127,26,9,0.3,0
30,Jason Johnson,Arizona,Pac-10,11,169,298,56.7,2347,7.9,7.2,19,13,135.2,42,-91,-2.2,2
31,John Welsh,Idaho,Sun Belt,11,183,284,64.4,2215,7.8,8.3,18,5,147.3,48,-61,-1.3,0
32,Jonathan Smith,Oregon State,Pac-10,11,180,317,56.8,2427,7.7,7.1,14,10,129.4,33,-141,-4.3,1
33,David Garrard,East Carolina,CUSA,11,164,290,56.6,2247,7.7,7.2,13,9,130.2,116,194,1.7,6
34,Tyler Watts,Alabama,SEC,9,94,172,54.7,1325,7.7,8.1,10,3,135.1,111,564,5.1,5
35,Joey Harrington*,Oregon,Pac-10,12,214,364,58.8,2764,7.6,8.3,27,6,143.8,55,56,1,7
36,Woodrow Dantzler,Clemson,ACC,11,188,311,60.5,2360,7.6,7.1,17,11,135.2,206,1004,4.9,10
37,David Priestley,Pitt,Big East,11,165,280,58.9,2128,7.6,7.6,18,8,138.3,56,53,0.9,2
38,Seneca Wallace,Iowa State,Big 12,11,167,269,62.1,2044,7.6,6.9,11,9,132.7,114,475,4.2,7
39,Brian Lindgren,Idaho,Sun Belt,11,126,213,59.2,1611,7.6,6.4,10,10,128.8,18,-24,-1.3,0
40,David Neill,Nevada,WAC,9,138,256,53.9,1918,7.5,7.5,11,5,127.1,83,319,3.8,3
41,Scott Hall,North Texas,Sun Belt,11,102,194,52.6,1453,7.5,6.7,17,11,133.1,86,143,1.7,4
42,James MacPherson,Wake Forest,ACC,11,113,209,54.1,1555,7.4,5.6,5,11,113.9,63,111,1.8,1
43,Asad Abdul-Khaliq,Minnesota,Big Ten,11,107,187,57.2,1393,7.4,7.3,12,6,134.6,69,266,3.9,3
44,Marcus Arroyo,San Jose State,WAC,11,141,261,54,1915,7.3,5.8,12,14,120.1,11,-13,-1.2,0
45,Zack Mills,Penn State,Big Ten,10,127,230,55.2,1669,7.3,5.7,9,12,118.7,74,187,2.5,3
46,Eli Manning,Ole Miss,SEC,11,259,408,63.5,2948,7.2,7.8,31,9,144.8,34,9,0.3,0
47,Carson Palmer*,USC,Pac-10,12,221,377,58.6,2717,7.2,6.5,13,12,124.2,88,34,0.4,1
48,Jeff Kelly,Southern Mississippi,CUSA,11,214,362,59.1,2613,7.2,6.7,15,11,127.3,95,32,0.3,3
49,Chris Simms,Texas,Big 12,12,214,362,59.1,2603,7.2,7,22,11,133.5,52,-10,-0.2,6
50,Shaun Hill,Maryland,ACC,11,197,329,59.9,2380,7.2,6.8,13,9,128.2,116,309,2.7,7
51,Brian St. Pierre,Boston College,Big East,11,149,279,53.4,2016,7.2,7.4,25,10,136.5,67,217,3.2,0
52,Wesley Phillips,UTEP,WAC,11,143,257,55.6,1839,7.2,6,10,11,120,49,-133,-2.7,2
53,Grant Noel,Virginia Tech,Big East,11,146,254,57.5,1826,7.2,6.5,16,11,130,61,-14,-0.2,2
54,Casey Printers,Texas Christian,CUSA,10,136,252,54,1824,7.2,6.8,13,8,125.4,69,87,1.3,3
55,Antwaan Randle El,Indiana,Big Ten,11,118,231,51.1,1664,7.2,7,9,5,120.1,188,964,5.1,8
56,Luke McCown,Louisiana Tech,WAC,11,277,469,59.1,3337,7.1,7,28,14,132.6,87,144,1.7,4
57,Jose Fuentes,Utah State,Ind,11,260,437,59.5,3100,7.1,6.3,24,18,129,49,-180,-3.7,0
58,Casey Bramlet,Wyoming,MWC,11,225,432,52.1,3069,7.1,5.4,9,20,109.4,89,-21,-0.2,6
59,Charlie Frye,Akron,MAC,11,170,289,58.8,2053,7.1,6.8,9,6,124.6,62,22,0.4,3
60,Philip Rivers,North Carolina State,ACC,11,240,368,65.2,2586,7,7,16,7,134.8,44,-26,-0.6,2
