,,,,,Passing,,,,,,,,,Rushing,,,
61,Greg Zolman,Vanderbilt,SEC,11,186,357,52.1,2512,7,6.7,14,9,119.1,69,-8,-0.1,5
62,Jason Thomas,UNLV,MWC,10,83,194,42.8,1353,7,5,8,12,102.6,107,481,4.5,4
63,Lance Rice,Utah,MWC,11,169,302,56,2086,6.9,6.3,16,11,124.2,28,-12,-0.4,0
64,K.C. Enzminger,New Mexico State,Sun Belt,12,121,235,51.5,1610,6.9,5.8,6,8,110.7,83,331,4,3
65,Casey Kelly,New Mexico,MWC,9,107,227,47.1,1559,6.9,5.2,8,12,105.9,70,143,2,2
66,Brock Nutter,Troy,Ind,11,173,307,56.4,2098,6.8,5.8,14,13,120.3,84,-203,-2.4,2
67,Danny Wimprine,Memphis,CUSA,9,102,196,52,1329,6.8,7.3,14,4,128.5,84,270,3.2,3
68,Zak Kustok,Northwestern,Big Ten,11,231,404,57.2,2692,6.7,6.5,20,10,124.5,175,580,3.3,11
69,Phil Petty*,South Carolina,SEC,12,164,288,56.9,1926,6.7,6.4,12,7,122,82,215,2.6,3
70,Andy Sahm,Bowling Green State,MAC,10,122,198,61.6,1326,6.7,5.5,11,10,126.1,52,33,0.6,3
71,Kliff Kingsbury,Texas Tech,Big 12,11,365,529,69,3502,6.6,6.8,25,9,136.8,66,-48,-0.7,0
72,Patrick Ramsey,Tulane,CUSA,11,256,448,57.1,2935,6.6,6.2,22,13,122.6,45,-115,-2.6,1
73,Talmadge Hill,Ball State,MAC,11,159,301,52.8,1953,6.5,5.1,13,15,111.6,98,79,0.8,1
74,Bryson Spinner,Virginia,ACC,11,121,206,58.7,1334,6.5,6.5,14,6,129.7,60,172,2.9,1
75,D. Bryant,Duke,ACC,11,187,384,48.7,2454,6.4,5,11,17,103,83,15,0.2,3
76,Kyle Boller,California,Pac-10,10,134,272,49.3,1741,6.4,5.6,12,10,110.2,77,63,0.8,1
77,Kelly Robinson,Houston,CUSA,11,149,267,55.8,1704,6.4,6,9,6,116,28,-93,-3.3,0
78,Matt Schaub,Virginia,ACC,12,140,240,58.3,1524,6.4,5.7,10,8,118.8,33,-13,-0.4,2
79,Joshua Cribbs,Kent State,MAC,11,131,238,55,1516,6.4,6.3,10,5,118.2,164,1019,6.2,5
80,Keith Boyea,Air Force,MWC,12,102,196,52,1253,6.4,5.6,6,6,109.7,230,1216,5.3,18
81,Bradlee Van Pelt,Colorado State,MWC,11,94,194,48.5,1247,6.4,4.9,8,10,105.7,100,546,5.5,4
82,Marquel Blackwell,South Florida,Ind,11,258,456,56.6,2882,6.3,6.1,20,11,119.3,92,241,2.6,9
83,John Navarre,Michigan,Big Ten,11,186,346,53.8,2195,6.3,5.8,17,12,116.3,45,-100,-2.2,0
84,Aso Pogi,Oklahoma State,Big 12,11,179,296,60.5,1854,6.3,5.9,11,7,120.6,70,-8,-0.1,3
85,David Page,SMU,WAC,9,104,193,53.9,1209,6.3,5.5,8,7,112.9,93,105,1.1,3
86,Chris Finlen,Northern Illinois,MAC,11,166,331,50.2,2036,6.2,5.8,14,9,110.3,86,106,1.2,4
87,Chad Jenkins,Army,CUSA,10,156,286,54.5,1773,6.2,4.2,8,16,104.7,63,176,2.8,4
88,Jon Van Cleave,Louisiana,Sun Belt,11,224,407,55,2499,6.1,5.7,14,10,113.1,58,-26,-0.4,0
89,Mark Farris,Texas A&M,Big 12,11,203,347,58.5,2094,6,5.3,8,9,111.6,47,-76,-1.6,2
90,Mario Kinsey,Kansas,Big 12,10,88,202,43.6,1215,6,4.3,7,11,94.6,130,225,1.7,3
91,Nate Hybl,Oklahoma,Big 12,11,222,380,58.4,2234,5.9,5.1,14,13,113.1,74,46,0.6,3
92,Brandon Hance*,Purdue,Big Ten,9,136,258,52.7,1529,5.9,4.8,8,10,105,112,242,2.2,4
93,Josh Blankenship,Tulsa,WAC,9,128,230,55.7,1350,5.9,5.1,5,6,106.9,28,57,2,0
94,Joe Freedy,Buffalo,MAC,11,187,371,50.4,2077,5.6,4.3,10,15,98.2,64,-10,-0.2,0
95,Kainoa Akina,Eastern Michigan,MAC,11,140,267,52.4,1504,5.6,4.8,14,11,108.8,84,177,2.1,0
96,Brad Lewis,West Virginia,Big East,11,135,237,57,1339,5.6,4.5,7,9,106.6,54,41,0.8,1
97,Nick Eddy,Houston,CUSA,11,99,182,54.4,1023,5.6,4.3,6,8,103.7,23,-35,-1.5,1
98,Zak Clark,Arkansas,SEC,10,88,179,49.2,1000,5.6,5.3,6,4,102.7,22,-42,-1.9,0
99,Kirk Farmer,Missouri,Big 12,10,135,285,47.4,1567,5.5,5.5,13,6,104.4,59,379,6.4,3
100,Lon Sheriff,San Diego State,MWC,11,111,236,47,1295,5.5,3.5,3,12,87.2,33,-160,-4.8,0
101,Ryan Cubit,Rutgers,Big East,11,120,268,44.8,1433,5.3,2.8,9,19,86.6,86,-99,-1.2,0
102,Dan Orlovsky,Connecticut,Ind,10,128,269,47.6,1379,5.1,4,9,11,93.5,31,-117,-3.8,2
103,Greg Cicero,Baylor,Big 12,10,129,255,50.6,1239,4.9,3,6,13,89,65,107,1.6,1
