,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Ryan Schneider,UCF,MAC,12,265,430,61.6,3770,8.8,8.5,31,16,151.6,37,-89,-2.4,2
2,Brad Banks*,Iowa,Big Ten,13,170,294,57.8,2573,8.8,9.8,26,5,157.1,81,423,5.2,5
3,Scott McBrien*,Maryland,ACC,14,162,284,57,2497,8.8,8.3,15,10,141.3,88,284,3.2,7
4,Byron Leftwich*,Marshall,MAC,12,331,491,67.4,4268,8.7,9,30,10,156.5,37,-1,0,3
5,Ken Dorsey*,Miami (FL),Big East,13,222,393,56.5,3369,8.6,8.6,28,12,145.9,23,-39,-1.7,0
6,Bryan Randall*,Virginia Tech,Big East,14,158,248,63.7,2134,8.6,7.6,12,11,143.1,171,507,3,3
7,Jason Gesser*,Washington State,Pac-10,13,236,402,58.7,3408,8.5,8.4,28,13,146.4,54,-116,-2.1,0
8,Craig Krenzel*,Ohio State,Big Ten,14,148,249,59.4,2110,8.5,8.2,12,7,140.9,125,368,2.9,3
9,James MacPherson*,Wake Forest,ACC,13,123,223,55.2,1837,8.2,8.1,8,4,132.6,68,177,2.6,1
10,Carson Palmer*,USC,Pac-10,13,309,489,63.2,3942,8.1,8.5,33,10,149.1,50,-122,-2.4,4
11,Brian Jones*,Toledo,MAC,14,297,423,70.2,3446,8.1,8.3,23,9,152.3,85,414,4.9,5
12,Jason Johnson,Arizona,Pac-10,12,239,410,58.3,3327,8.1,7.5,16,13,133,60,-373,-6.2,0
13,Chris Simms*,Texas,Big 12,13,235,396,59.3,3207,8.1,8,26,12,143,70,-124,-1.8,4
14,Andrew Walter*,Arizona State,Pac-10,14,274,483,56.7,3877,8,7.8,28,15,137.1,56,-216,-3.9,0
15,Philip Rivers*,North Carolina State,ACC,14,262,418,62.7,3353,8,7.9,20,10,141.1,57,100,1.8,10
16,Josh Haldi,Northern Illinois,MAC,12,130,254,51.2,2027,8,8.1,15,6,133,59,-90,-1.5,0
17,Nick Eddy,Houston,CUSA,11,134,265,50.6,2054,7.8,5.9,16,18,122,37,-39,-1.1,2
18,Josh Fields*,Oklahoma State,Big 12,13,226,408,55.4,3145,7.7,8.1,31,10,140.3,50,-72,-1.4,3
19,David Greene*,Georgia,SEC,14,218,379,57.5,2924,7.7,7.9,22,8,137.3,65,-52,-0.8,2
20,Jon Beutjer,Illinois,Big Ten,11,193,327,59,2511,7.7,7.4,21,11,138,44,7,0.2,2
21,Zack Threadgill,Nevada,WAC,12,275,451,61,3418,7.6,7,26,17,136.1,62,116,1.9,1
22,Ben Roethlisberger,Miami (OH),MAC,12,271,428,63.3,3238,7.6,7.4,22,11,138.7,82,-54,-0.7,1
23,Rod Rutherford*,Pitt,Big East,13,192,367,52.3,2783,7.6,7.3,22,12,129.3,182,398,2.2,6
24,Gino Guidugli*,Cincinnati,CUSA,14,258,472,54.7,3543,7.5,6.4,22,21,124.2,69,27,0.4,3
25,Jason Fife*,Oregon,Pac-10,13,190,367,51.8,2752,7.5,7.6,24,10,130.9,76,67,0.9,3
26,Dustin Long,Texas A&M,Big 12,12,177,333,53.2,2509,7.5,6.5,19,16,125.7,49,13,0.3,1
27,Chris Rix*,Florida State,ACC,11,118,225,52.4,1684,7.5,7.2,13,7,128.2,86,289,3.4,3
28,Derek Anderson*,Oregon State,Pac-10,13,211,449,47,3313,7.4,7.2,25,13,121.6,45,-231,-5.1,2
29,Charlie Frye,Akron,MAC,12,250,380,65.8,2824,7.4,7.2,15,9,136.5,102,125,1.2,7
30,Casey Clausen*,Tennessee,SEC,11,194,310,62.6,2297,7.4,7.1,11,7,132,61,-7,-0.1,1
31,Corey Jenkins,South Carolina,SEC,12,100,180,55.6,1334,7.4,5.7,7,10,119.5,160,655,4.1,4
32,Cody Pickett*,Washington,Pac-10,13,365,612,59.6,4458,7.3,7.2,28,14,131.4,86,-185,-2.2,3
33,Seneca Wallace*,Iowa State,Big 12,14,244,443,55.1,3245,7.3,6.2,15,18,119.7,123,437,3.6,8
34,Brian St. Pierre*,Boston College,Big East,13,237,407,58.2,2983,7.3,6.3,18,17,126,68,126,1.9,1
35,Paul Pinegar*,Fresno State,WAC,14,230,403,57.1,2929,7.3,7.1,20,10,129.5,65,-131,-2,1
36,Zack Mills*,Penn State,Big Ten,13,188,333,56.5,2417,7.3,6.9,17,10,128.3,87,201,2.3,3
37,Timmy Chang*,Hawaii,WAC,14,349,624,55.9,4474,7.2,6.4,25,22,122.3,39,-17,-0.4,1
38,Jose Fuentes,Utah State,Ind,11,246,454,54.2,3268,7.2,6.6,20,15,122.6,57,-104,-1.8,0
39,Adam Hall,San Diego State,MWC,11,272,452,60.2,3253,7.2,7.1,17,9,129.1,64,-110,-1.7,0
40,Scott Rislov,San Jose State,WAC,13,275,449,61.2,3251,7.2,6.8,22,14,132,72,13,0.2,0
41,Brian Lindgren,Idaho,Sun Belt,11,240,382,62.8,2763,7.2,7,19,10,134.8,47,-97,-2.1,0
42,Gibran Hamdan,Indiana,Big Ten,12,152,293,51.9,2115,7.2,5.7,9,14,113.1,55,-52,-0.9,1
43,Bradlee Van Pelt*,Colorado State,MWC,14,150,287,52.3,2073,7.2,6.8,10,7,119.6,150,819,5.5,11
44,Brooks Bollinger*,Wisconsin,Big Ten,13,131,245,53.5,1758,7.2,7.6,14,4,129.3,160,466,2.9,8
45,Andrico Hines,Middle Tennessee State,Sun Belt,11,142,243,58.4,1753,7.2,6.4,6,7,121.4,150,486,3.2,10
46,Eli Manning*,Ole Miss,SEC,13,279,481,58,3401,7.1,6.5,21,15,125.6,39,-120,-3.1,2
47,Casey Bramlet,Wyoming,MWC,12,277,464,59.7,3290,7.1,6.4,24,18,128.6,101,35,0.3,5
48,Matt Schaub*,Virginia,ACC,14,288,418,68.9,2976,7.1,7.7,28,7,147.5,70,95,1.4,2
49,Kyle Orton*,Purdue,Big Ten,13,192,317,60.6,2257,7.1,6.7,13,9,128.2,43,47,1.1,0
50,Jason Thomas,UNLV,MWC,11,134,274,48.9,1936,7.1,6.5,8,7,112.8,124,448,3.6,9
51,Aaron Karas,Baylor,Big 12,11,150,251,59.8,1792,7.1,5.3,6,13,117.3,95,-3,0,1
52,Micky D'Angelo*,Southern Mississippi,CUSA,12,122,232,52.6,1647,7.1,6.2,7,8,115.3,61,-21,-0.3,0
53,Kliff Kingsbury*,Texas Tech,Big 12,14,479,712,67.3,5017,7,7.5,45,13,143.7,102,-114,-1.1,2
54,Luke McCown,Louisiana Tech,WAC,12,296,505,58.6,3539,7,6.1,19,19,122.4,61,30,0.5,2
55,Nate Hybl*,Oklahoma,Big 12,14,209,363,57.6,2538,7,7.3,24,8,133.7,63,-54,-0.9,1
56,Asad Abdul-Khaliq*,Minnesota,Big Ten,12,165,315,52.4,2190,7,6.6,19,11,123.7,86,322,3.7,5
57,Chad Munson,Western Michigan,MAC,12,162,309,52.4,2160,7,5.4,14,17,115.1,34,-120,-3.5,0
58,Carlyle Holiday*,Notre Dame,Ind,12,129,257,50.2,1788,7,6.9,10,5,117.6,92,200,2.2,3
59,Josh Harris,Bowling Green State,MAC,12,198,353,56.1,2425,6.9,6.5,19,11,125.3,186,737,4,20
60,Jared Lorenzen,Kentucky,SEC,12,183,327,56,2267,6.9,7.7,24,5,135.4,60,-51,-0.9,0
61,Rex Grossman*,Florida,SEC,13,287,503,57.1,3402,6.8,6.1,22,17,121.5,58,-65,-1.1,1
62,Dan Orlovsky,Connecticut,Ind,12,221,366,60.4,2488,6.8,6.5,19,11,128.6,50,-86,-1.7,4
63,Brett Basanez,Northwestern,Big Ten,10,190,325,58.5,2204,6.8,6.2,7,7,118.2,67,96,1.4,4
64,Elliot Jacobs,Arkansas State,Sun Belt,13,136,258,52.7,1751,6.8,6.1,7,7,113.2,82,193,2.4,6
65,Matt Jones*,Arkansas,SEC,14,122,234,52.1,1592,6.8,6.6,16,8,125,129,614,4.8,5
66,Jay Cutler,Vanderbilt,SEC,11,103,212,48.6,1433,6.8,5.8,10,9,112.4,123,393,3.2,9
67,Troy Nunes,Syracuse,Big East,9,115,198,58.1,1337,6.8,6,8,7,121.1,51,24,0.5,0
68,Kyle Boller,California,Pac-10,12,225,421,53.4,2815,6.7,6.9,28,10,126.8,72,-83,-1.2,3
69,Troy Edwards,Eastern Michigan,MAC,12,232,410,56.6,2762,6.7,5.8,22,18,122.1,45,-95,-2.1,0
70,Darrell Hackney,UAB,CUSA,11,149,293,50.9,1977,6.7,6.6,14,7,118.5,85,-14,-0.2,2
71,Sean Stilley*,Texas Christian,CUSA,9,114,204,55.9,1371,6.7,4.9,6,11,111.3,65,86,1.3,1
72,Jon Van Cleave,Louisiana,Sun Belt,11,169,316,53.5,2081,6.6,5,9,15,108.7,64,-50,-0.8,0
73,Adam Smith,Duke,ACC,12,174,308,56.5,2031,6.6,6.1,12,9,118.9,62,-119,-1.9,0
74,Andy Roesch,Ball State,MAC,9,113,202,55.9,1341,6.6,6.6,15,7,129.3,33,68,2.1,1
75,John Navarre*,Michigan,Big Ten,13,248,448,55.4,2905,6.5,6.7,21,7,122.2,40,-16,-0.4,2
76,Dave Ragone*,Louisville,CUSA,13,237,441,53.7,2880,6.5,6.5,24,11,121.6,131,248,1.9,0
77,Danny Wimprine,Memphis,CUSA,12,235,435,54,2820,6.5,5.7,23,18,117.7,98,40,0.4,2
78,Marquel Blackwell,South Florida,Ind,11,230,403,57.1,2590,6.4,7,18,3,124.3,89,302,3.4,5
79,Brad Smith,Missouri,Big 12,12,196,366,53.6,2333,6.4,6.5,15,6,117.3,193,1029,5.3,7
80,Paul Troth,East Carolina,CUSA,12,177,359,49.3,2315,6.4,4.8,15,20,106.1,61,-210,-3.4,1
81,Willie Simmons*,Clemson,ACC,10,142,244,58.2,1559,6.4,5.6,6,7,114.2,59,49,0.8,1
82,Steven Jyles,Louisiana-Monroe,Sun Belt,12,181,368,49.2,2318,6.3,6.1,17,9,112.4,85,165,1.9,3
83,J.P. Losman*,Tulane,CUSA,13,230,401,57.4,2468,6.2,6,19,10,119.7,88,19,0.2,6
84,A.J. Suggs*,Georgia Tech,ACC,13,208,363,57.3,2242,6.2,5,12,15,111.8,52,21,0.4,0
85,Kevin Fant,Mississippi State,SEC,10,163,311,52.4,1918,6.2,5.1,10,12,107.1,61,-69,-1.1,0
86,Rasheed Marshall*,West Virginia,Big East,13,139,259,53.7,1616,6.2,6.1,9,5,113.7,173,666,3.8,13
87,Robert Hodge*,Colorado,Big 12,13,137,258,53.1,1609,6.2,5.7,13,9,115.1,73,88,1.2,2
88,Tyler Gooch,Tulsa,WAC,11,190,348,54.6,2100,6,6,17,8,116.8,127,219,1.7,1
89,Casey Kelly,New Mexico,MWC,12,163,282,57.8,1667,5.9,5.9,13,6,118.4,108,229,2.1,6
90,Derrick Vickers,Central Michigan,MAC,12,175,320,54.7,1828,5.7,5.6,9,5,108.8,62,105,1.7,4
91,Kyle Matter,Stanford,Pac-10,10,116,214,54.2,1219,5.7,4.3,8,10,105,68,64,0.9,2
92,Mike McGann,Temple,Big East,12,173,353,49,1994,5.6,3.6,13,22,96.1,95,200,2.1,3
93,Zac Dahman,Army,CUSA,10,89,184,48.4,1039,5.6,4,5,9,95,24,-71,-3,0
94,Bill Whittemore,Kansas,Big 12,9,151,305,49.5,1666,5.5,5.3,11,6,103.4,137,549,4,11
95,Joshua Cribbs,Kent State,MAC,10,91,186,48.9,1014,5.5,2.5,4,14,86.8,137,1057,7.7,10
96,Hansell Bearden,Troy,Ind,12,125,288,43.4,1463,5.1,3,6,16,81.8,98,211,2.2,2
97,Randall Secky,Buffalo,MAC,12,204,421,48.5,2015,4.8,4,12,13,91.9,59,-153,-2.6,0
98,Tate Wallis,SMU,WAC,12,83,182,45.6,834,4.6,2.4,3,10,78.5,72,232,3.2,0
