,,,,,Passing,,,,,,,,,Rushing,,,
62,Dorian Thompson-Robinson,UCLA,Pac-12,11,216,362,59.7,2701,7.5,7.1,21,12,134.9,118,198,1.7,4
63,Tevaka Tuioti,New Mexico,MWC,9,102,195,52.3,1460,7.5,6.8,7,6,120.9,52,262,5,0
64,Nathan Stanley*,Iowa,Big Ten,13,237,399,59.4,2951,7.4,7.4,16,7,131.2,76,7,0.1,1
65,Jake Fromm*,Georgia,SEC,14,234,385,60.8,2860,7.4,8.1,24,5,141.2,38,-12,-0.3,0
66,Ty Storey*,Western Kentucky,CUSA,11,241,345,69.9,2567,7.4,7.3,14,7,141.7,118,276,2.3,7
67,Ross Bowers,Northern Illinois,MAC,9,166,287,57.8,2130,7.4,6.7,7,8,122.7,34,-111,-3.3,1
68,Jorge Reyna,Fresno State,MWC,12,236,365,64.7,2654,7.3,6.7,15,11,133.3,98,264,2.7,2
69,Isaiah Green*,Marshall,CUSA,13,189,336,56.3,2438,7.3,6.7,15,11,125.4,114,300,2.6,5
70,Khalil Tate,Arizona,Pac-12,11,160,266,60.2,1954,7.3,6.5,14,11,131,90,413,4.6,3
71,Kai Locksley,UTEP,CUSA,11,103,181,56.9,1329,7.3,6.8,6,5,124,126,535,4.2,5
72,Jordan Love*,Utah State,MWC,13,293,473,61.9,3402,7.2,6.4,20,17,129.1,81,175,2.2,0
73,Carter Stanley,Kansas,Big 12,12,226,371,60.9,2664,7.2,7.1,24,11,136.7,67,68,1,1
74,James Morgan*,Florida International,CUSA,12,207,357,58,2585,7.2,7.4,14,5,128.9,32,-40,-1.3,2
75,Bryce Perkins*,Virginia,ACC,14,319,495,64.4,3530,7.1,6.9,22,12,134.2,227,769,3.4,11
76,Brian Lewerke*,Michigan State,Big Ten,13,260,436,59.6,3079,7.1,6.5,17,13,125.9,111,363,3.3,3
77,Tommy Devito,Syracuse,ACC,12,213,337,63.2,2360,7,7.5,19,5,137.7,112,122,1.1,2
78,Kellen Mond*,Texas A&M,SEC,13,258,419,61.6,2897,6.9,6.9,20,9,131.1,126,501,4,8
79,Steven Montez,Colorado,Pac-12,12,255,405,63,2808,6.9,6.7,17,10,130.1,65,153,2.4,3
80,Dan Ellington*,Georgia State,Sun Belt,13,227,355,63.9,2447,6.9,7.1,22,8,137.8,160,668,4.2,6
81,Brandon Peters*,Illinois,Big Ten,11,152,275,55.3,1884,6.9,6.9,18,8,128.6,74,213,2.9,3
82,Jack Zergiotis,Connecticut,American,10,150,260,57.7,1782,6.9,5.6,9,11,118.2,41,-46,-1.1,0
83,Tyler Vitt,Texas State,Sun Belt,9,147,231,63.6,1590,6.9,5.1,11,14,125,56,119,2.1,0
84,Anthony Russo*,Temple,American,13,246,419,58.7,2861,6.8,6.5,21,12,126.9,35,-64,-1.8,2
85,Kenyon Oblad,UNLV,MWC,11,167,308,54.2,2081,6.8,6.6,18,9,124.4,45,-43,-1,1
86,Bo Nix*,Auburn,SEC,13,217,377,57.6,2542,6.7,6.9,16,6,125,97,313,3.2,7
87,Desmond Ridder*,Cincinnati,American,13,179,325,55.1,2164,6.7,6.5,18,9,123.7,144,650,4.5,5
88,Kenny Pickett*,Pitt,ACC,12,289,469,61.6,3098,6.6,6.3,13,9,122.4,95,110,1.2,2
89,Ryan Agnew*,San Diego State,MWC,12,234,371,63.1,2462,6.6,6.7,14,6,128,72,116,1.6,1
90,Austin Kendall,West Virginia,Big 12,9,187,304,61.5,1989,6.5,5.9,12,10,122.9,45,91,2,1
91,Kato Nelson,Akron,MAC,10,151,280,53.9,1820,6.5,6.3,11,6,117.2,109,121,1.1,0
92,Jordan McCloud,South Florida,American,12,124,224,55.4,1429,6.4,5.8,12,8,119.5,105,283,2.7,4
93,Carson Strong*,Nevada,MWC,10,237,374,63.4,2335,6.2,6,11,7,121.8,54,-6,-0.1,0
94,Josh Jackson,Maryland,Big Ten,10,98,207,47.3,1274,6.2,6,12,6,112.4,53,-53,-1,0
95,Max Duggan,Texas Christian,Big 12,12,181,339,53.4,2077,6.1,5.7,15,10,113.6,130,555,4.3,6
96,Riley Neal,Vanderbilt,SEC,11,149,258,57.8,1585,6.1,6,9,5,117,53,47,0.9,0
97,Lowell Narcisse,UTSA,CUSA,11,107,201,53.2,1226,6.1,5.8,8,5,112.6,118,492,4.2,4
98,James Graham,Georgia Tech,ACC,11,87,193,45.1,1164,6,5.6,12,7,109,99,290,2.9,3
99,Josh Adkins,New Mexico State,Ind,12,275,437,62.9,2588,5.9,5,14,15,116.4,106,41,0.4,4
100,Ryan Hilinski,South Carolina,SEC,11,236,406,58.1,2357,5.8,5.8,11,5,113.4,33,-55,-1.7,1
101,Quentin Harris,Duke,ACC,12,209,357,58.5,2078,5.8,5.3,16,11,116.1,160,510,3.2,7
102,Grant Loy,Bowling Green State,MAC,12,115,203,56.7,1137,5.6,3.8,6,11,102.6,100,427,4.3,4
