,,,,,Passing,,,,,,,,,Rushing,,,
71,Chris Kasteler,San Jose State,WAC,10,193,350,55.1,2239,6.4,5.2,13,15,112.6,66,-127,-1.9,0
72,Jason McKinley,Houston,CUSA,11,148,257,57.6,1651,6.4,5.1,5,10,110.2,20,-60,-3,0
73,Jose Davis,Kent State,MAC,11,180,315,57.1,1969,6.3,6.1,16,8,121.3,114,370,3.2,4
74,Scott Mullen,Iowa,Big Ten,9,126,226,55.8,1415,6.3,5.3,5,7,109.5,48,114,2.4,4
75,Walter Church,Eastern Michigan,MAC,10,178,332,53.6,2015,6.1,4.9,8,12,105.3,67,-78,-1.2,2
76,Dylen Smith,Kansas,Big 12,12,135,263,51.3,1599,6.1,5.8,12,7,112.1,97,151,1.6,2
77,Josh McCown,SMU,WAC,10,125,234,53.4,1434,6.1,5.1,11,10,111.9,69,-9,-0.1,1
78,Josh Blankenship,Tulsa,WAC,10,119,235,50.6,1416,6,3.7,7,15,98.3,66,-44,-0.7,0
79,Jim Dougherty,Missouri,Big 12,11,109,219,49.8,1304,6,4.9,4,7,99.4,49,-8,-0.2,1
80,Joe Freedy,Buffalo,MAC,11,151,299,50.5,1775,5.9,4.8,8,11,101.8,59,-139,-2.4,0
81,Brian Conn,Ball State,MAC,11,150,257,58.4,1525,5.9,4.3,10,14,110.2,97,1,0,1
82,Tavares Bolden,Toledo,MAC,11,123,229,53.7,1354,5.9,5.2,8,7,108.8,65,365,5.6,1
83,Sean Stein,New Mexico,MWC,9,141,272,51.8,1584,5.8,5.1,11,9,107.5,68,0,0,2
84,Jeff Crosbie,Utah State,Big West,11,169,361,46.8,2007,5.6,4,10,17,93.2,61,115,1.9,1
85,Josh Booty,LSU,SEC,10,162,333,48.6,1830,5.5,3.3,7,19,90.3,27,-83,-3.1,0
86,Daniel Dixon,UAB,CUSA,10,127,245,51.8,1347,5.5,4.2,7,10,99.3,116,44,0.4,6
87,Andy Chance,Louisiana-Monroe,Ind,11,141,246,57.3,1327,5.4,4.3,5,8,102.8,130,438,3.4,3
88,Jermaine Alfred,Baylor,Big 12,11,111,228,48.7,1230,5.4,4,4,9,91.9,66,29,0.4,4
89,Derek Dyer,Louisiana,Ind,10,90,203,44.3,1066,5.3,3.4,4,10,85.1,108,241,2.2,4
90,Kyle Boller,California,Pac-10,10,100,259,38.6,1303,5,3.1,9,15,80.8,61,-105,-1.7,0
91,Devin Scott,Temple,Big East,11,222,368,60.3,1815,4.9,4.1,12,12,106,55,-66,-1.2,0
