,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Michael Vick*,Virginia Tech,Big East,12,105,182,57.7,2065,11.3,11.5,13,5,171.1,131,682,5.2,9
2,Joe Hamilton,Georgia Tech,ACC,11,203,305,66.6,3060,10,10.3,29,11,175,154,734,4.8,6
3,Chad Pennington,Marshall,MAC,12,275,405,67.9,3799,9.4,10,37,11,171.4,56,103,1.8,2
4,Jonathan Beasley,Kansas State,Big 12,11,90,203,44.3,1805,8.9,8.7,14,7,134.9,105,227,2.2,8
5,Jarious Jackson,Notre Dame,Ind,12,184,316,58.2,2753,8.7,7.8,17,14,140.3,140,464,3.3,7
6,Todd Husak,Stanford,Pac-10,10,176,308,57.1,2688,8.7,8.3,18,11,142.6,30,3,0.1,3
7,Mike Bath,Miami (OH),MAC,11,138,295,46.8,2525,8.6,8.2,24,13,136.7,65,-86,-1.3,0
8,Jay Stuckey,UTEP,WAC,12,145,225,64.4,1918,8.5,7.3,15,13,146.5,63,62,1,3
9,Jay Stoner,Wyoming,MWC,9,135,222,60.8,1859,8.4,7.7,8,7,136.7,66,-94,-1.4,2
10,Keith Smith,Arizona,Pac-10,11,131,228,57.5,1903,8.3,7.6,10,8,135,51,151,3,2
11,Chris Weinke,Florida State,ACC,11,232,377,61.5,3103,8.2,7.9,25,14,145.1,31,-109,-3.5,0
12,Antwaan Randle El,Indiana,Big Ten,11,150,279,53.8,2277,8.2,8.3,17,7,137.4,224,788,3.5,13
13,Mike Moschetti,Colorado,Big 12,10,204,331,61.6,2693,8.1,7.6,18,12,140.7,85,125,1.5,5
14,Darnell Arceneaux,Utah,MWC,9,83,165,50.3,1342,8.1,7.4,10,7,130.1,48,47,1,1
15,David Neill,Nevada,Big West,11,247,423,58.4,3402,8,8.2,20,7,138.2,100,209,2.1,5
16,Randy McCown,Texas A&M,Big 12,11,152,295,51.5,2374,8,7.5,14,10,128,80,57,0.7,2
17,K.C. Enzminger,New Mexico State,Big West,11,112,236,47.5,1878,8,8.2,14,5,129.6,125,358,2.9,8
18,Kevin Feterik,Brigham Young,MWC,11,277,452,61.3,3554,7.9,7.5,25,15,138.9,88,-77,-0.9,1
19,Jeff Kelly,Southern Mississippi,CUSA,11,153,260,58.8,2062,7.9,7.6,21,11,143.7,50,-58,-1.2,1
20,Dan Ellis,Virginia,ACC,10,156,258,60.5,2050,7.9,7.8,20,10,145,64,31,0.5,0
21,Kevin Thompson,Penn State,Big Ten,12,133,242,55,1916,7.9,7.3,13,9,131.8,32,7,0.2,0
22,Butchie Washington,Akron,MAC,11,131,240,54.6,1896,7.9,7.2,12,9,129.9,82,40,0.5,2
23,Bart Hendricks,Boise State,Big West,12,203,351,57.8,2746,7.8,7.4,22,13,136.8,119,357,3,8
24,Chris Finlen,Northern Illinois,MAC,11,118,199,59.3,1551,7.8,6.5,12,11,133.6,59,59,1,1
25,Tim Lester,Western Michigan,MAC,12,282,470,60,3639,7.7,7.9,34,13,143.4,55,154,2.8,1
26,Tim Rattay,Louisiana Tech,Ind,10,342,516,66.3,3922,7.6,7.9,35,12,147.9,46,-112,-2.4,0
27,Doug Johnson,Florida,SEC,11,190,337,56.4,2574,7.6,7.1,20,13,132.4,30,-111,-3.7,1
28,David Garrard,East Carolina,CUSA,11,181,312,58,2359,7.6,6.7,14,12,128.6,138,493,3.6,8
29,Tee Martin,Tennessee,SEC,11,165,305,54.1,2317,7.6,7.1,12,9,125,81,317,3.9,9
30,Billy Cockerham*,Minnesota,Big Ten,12,147,276,53.3,2091,7.6,7,15,10,127.6,168,831,4.9,10
31,Sage Rosenfels,Iowa State,Big 12,11,127,235,54,1781,7.6,6.3,10,11,122.4,80,225,2.8,4
32,Chris Redman,Louisville,CUSA,11,317,489,64.8,3647,7.5,7.4,29,13,141.7,43,-110,-2.6,1
33,Marques Tuiasosopo,Washington,Pac-10,11,171,295,58,2221,7.5,6.7,12,11,127.2,138,541,3.9,6
34,Tom Brady,Michigan,Big Ten,11,180,295,61,2217,7.5,7.7,16,6,138,34,-31,-0.9,1
35,A.J. Feeley*,Oregon,Pac-10,10,136,259,52.5,1951,7.5,7.6,14,6,129,31,-5,-0.2,0
36,Tim Hasselbeck,Boston College,Big East,11,145,260,55.8,1940,7.5,7.1,11,7,127,92,198,2.2,3
37,Woodrow Dantzler*,Clemson,ACC,10,112,201,55.7,1506,7.5,7,9,6,127.5,146,588,4,4
38,Romaro Miller*,Ole Miss,SEC,12,165,298,55.4,2201,7.4,7.1,16,9,129.1,47,-27,-0.6,1
39,Ryan Kealy*,Arizona State,Pac-10,11,148,267,55.4,1976,7.4,6.5,10,10,122.5,31,-145,-4.7,1
40,Kenny Kelly,Miami (FL),Big East,9,141,259,54.4,1913,7.4,6.1,15,14,124.8,49,44,0.9,2
41,Matt Newton,Colorado State,MWC,11,193,324,59.6,2368,7.3,6.6,18,13,131.3,31,-65,-2.1,5
42,Jack Hawley,San Diego State,MWC,11,145,266,54.5,1942,7.3,6.7,15,10,126.9,71,90,1.3,1
43,Wayne Madkin,Mississippi State,SEC,11,135,257,52.5,1884,7.3,6.2,10,11,118.4,51,-1,0,0
44,Major Applewhite*,Texas,Big 12,13,271,467,58,3357,7.2,7.2,21,9,129.4,52,-146,-2.8,1
45,Jonathan Smith*,Oregon State,Pac-10,12,207,425,48.7,3053,7.2,7.1,15,7,117.4,66,-96,-1.5,3
46,Billy Volek,Fresno State,WAC,12,235,355,66.2,2559,7.2,8.5,30,3,152.9,42,-61,-1.5,3
47,Pete Shepherd,Central Michigan,MAC,11,171,320,53.4,2295,7.2,6,9,12,115.5,48,-8,-0.2,0
48,Clint Stoerner,Arkansas,SEC,11,177,317,55.8,2293,7.2,7,19,10,130.1,27,-60,-2.2,2
49,Steve Bellisari,Ohio State,Big Ten,12,101,224,45.1,1616,7.2,6.5,12,9,115.3,116,332,2.9,2
50,Drew Brees*,Purdue,Big Ten,12,337,554,60.8,3909,7.1,7,25,12,130.7,79,177,2.2,4
51,Quincy Carter,Georgia,SEC,11,216,380,56.8,2713,7.1,7.3,17,6,128.4,102,255,2.5,5
52,Bill Burke*,Michigan State,Big Ten,12,173,312,55.4,2214,7.1,5.8,20,18,124.7,49,-200,-4.1,0
53,Calvin McCall,Maryland,ACC,9,93,179,52,1264,7.1,6.9,5,3,117.1,79,256,3.2,1
54,Dusty Bonner,Kentucky,SEC,11,303,465,65.2,3266,7,6.9,26,13,137,111,-141,-1.3,3
55,Dan Robinson,Hawaii,WAC,12,288,556,51.8,3853,6.9,6.5,28,18,120.2,60,-91,-1.5,4
56,Josh Heupel,Oklahoma,Big 12,11,310,500,62,3460,6.9,6.8,30,15,133.9,47,-98,-2.1,5
57,Jamie Barnette,North Carolina State,ACC,12,171,338,50.6,2320,6.9,6.4,13,9,115.6,81,23,0.3,5
58,Greg Zolman,Vanderbilt,SEC,11,154,300,51.3,2059,6.9,5.1,10,16,109.3,79,-90,-1.1,5
59,Vic Penn,UCF,Ind,11,262,455,57.6,3078,6.8,6.4,16,11,121.2,100,168,1.7,4
60,Kurt Kittner*,Illinois,Big Ten,12,216,396,54.5,2702,6.8,7.5,24,5,129.3,67,83,1.2,1
61,Andrew Zow,Alabama,SEC,11,148,264,56.1,1799,6.8,6.2,12,9,121.5,33,-37,-1.1,0
62,Cleo Lemon,Arkansas State,Big West,10,105,230,45.7,1569,6.8,6.6,15,8,117.5,33,-94,-2.8,0
63,Rob Peters,Texas Tech,Big 12,10,105,211,49.8,1437,6.8,5.3,9,11,110.6,68,23,0.3,2
64,Cory Paus,UCLA,Pac-10,9,95,197,48.2,1336,6.8,5.4,7,9,107.8,40,-29,-0.7,0
65,John Turman,Pitt,Big East,11,92,192,47.9,1301,6.8,5.7,10,9,112.6,51,54,1.1,1
66,Wes Counts,Middle Tennessee State,Ind,11,249,390,63.8,2603,6.7,5.9,14,13,125.1,91,81,0.9,3
67,Ben Sankey,Wake Forest,ACC,11,133,224,59.4,1496,6.7,5.7,9,9,120.7,150,405,2.7,5
68,Patrick Ramsey,Tulane,CUSA,11,310,513,60.4,3410,6.6,5.5,25,24,123,64,-61,-1,1
69,Steve Birnbaum,Washington State,Pac-10,11,174,307,56.7,2022,6.6,6.6,11,5,120.6,35,-126,-3.6,2
70,Deontey Kenner,Cincinnati,CUSA,10,208,379,54.9,2430,6.4,5.4,14,15,113,54,212,3.9,6
