,,,,,Passing,,,,,,,,,Rushing,,,
Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att,Yds,Avg,TD
1,Rudy Carpenter*,Arizona State,Pac-10,9,156,228,68.4,2273,10,11.1,17,2,175,42,-9,-0.2,1
2,Brian Brohm*,Louisville,Big East,10,207,301,68.8,2883,9.6,10.1,19,5,166.7,41,-36,-0.9,4
3,Troy Smith*,Ohio State,Big Ten,11,149,237,62.9,2282,9.6,10.2,16,4,162.7,136,611,4.5,11
4,Vince Young*,Texas,Big 12,13,212,325,65.2,3036,9.3,9.6,26,10,163.9,155,1050,6.8,12
5,Matt Leinart*,USC,Pac-10,13,283,431,65.7,3815,8.9,9.3,28,8,157.7,51,36,0.7,6
6,John Stocco*,Wisconsin,Big Ten,13,197,328,60.1,2920,8.9,8.9,21,9,150.5,86,-32,-0.4,2
7,Brian Johnson*,Utah,MWC,10,210,330,63.6,2892,8.8,8.9,18,7,151,152,478,3.1,8
8,Brady Quinn*,Notre Dame,Ind,12,292,450,64.9,3919,8.7,9.4,32,7,158.4,70,90,1.3,1
9,Drew Stanton,Michigan State,Big Ten,11,236,354,66.7,3077,8.7,8.4,22,12,153.4,121,338,2.8,4
10,Justin Holland*,Colorado State,MWC,12,235,369,63.7,3185,8.6,8,23,15,148.6,37,-174,-4.7,0
11,Drew Olson*,UCLA,Pac-10,12,242,378,64,3198,8.5,9.5,34,6,161.6,50,-48,-1,1
12,Bryan Cupito*,Minnesota,Big Ten,11,176,297,59.3,2530,8.5,8.4,19,9,145.9,24,30,1.3,0
13,Colt Brennan,Hawaii,WAC,12,350,515,68,4301,8.4,8.6,35,13,155.5,99,154,1.6,2
14,Ryan Hart*,Rutgers,Big East,10,155,255,60.8,2135,8.4,8.4,18,8,148.1,25,-18,-0.7,0
15,Phil Horvath,Northern Illinois,MAC,9,168,238,70.6,2001,8.4,8.4,18,8,159.4,34,21,0.6,1
16,D.J. Shockley*,Georgia,SEC,12,173,310,55.8,2588,8.3,9.2,24,5,148.3,78,322,4.1,4
17,Marcus Vick*,Virginia Tech,ACC,13,177,289,61.2,2393,8.3,7.9,17,10,143.3,147,380,2.6,6
18,Darrell Hackney,UAB,CUSA,11,242,386,62.7,3180,8.2,8,22,12,144.5,51,105,2.1,1
19,Jordan Palmer*,UTEP,CUSA,12,258,434,59.4,3503,8.1,7.4,29,19,140.5,56,-50,-0.9,2
20,Alex Brink,Washington State,Pac-10,11,205,358,57.3,2891,8.1,7.8,24,13,140,56,106,1.9,2
21,Omar Jacobs,Bowling Green State,MAC,9,195,321,60.7,2591,8.1,8.7,26,7,150.9,40,62,1.6,1
22,Sam Hollenbach,Maryland,ACC,11,192,315,61,2539,8.1,6.7,13,15,132.8,72,-18,-0.3,2
23,Isaiah Stanback,Washington,Pac-10,11,143,264,54.2,2136,8.1,7.8,9,6,128.8,100,353,3.5,5
