,,,,,Passing,,,,,,,,,Rushing,,,
24,Paul Pinegar*,Fresno State,WAC,13,265,416,63.7,3335,8,7.8,30,15,147.6,46,59,1.3,3
25,Drew Tate*,Iowa,Big Ten,12,219,352,62.2,2828,8,8.4,22,7,146.4,44,41,0.9,1
26,Cody Hodges*,Texas Tech,Big 12,12,353,531,66.5,4197,7.9,8.1,31,12,147.6,109,191,1.8,3
27,JaMarcus Russell*,LSU,SEC,12,188,311,60.5,2443,7.9,7.5,15,9,136.6,61,-22,-0.4,2
28,Kevin Kolb*,Houston,CUSA,12,254,420,60.5,3258,7.8,7.1,19,15,133.4,104,200,1.9,5
29,Steven Moffett*,UCF,CUSA,13,223,375,59.5,2925,7.8,7.9,22,9,139.5,96,93,1,2
30,Bret Meyer*,Iowa State,Big 12,12,227,368,61.7,2876,7.8,7.6,19,10,138.9,133,123,0.9,1
31,Paul Smith*,Tulsa,CUSA,13,227,364,62.4,2847,7.8,8.2,20,6,142.9,111,258,2.3,6
32,Kyle Wright*,Miami (FL),ACC,12,180,307,58.6,2403,7.8,7.5,18,10,137.2,64,-101,-1.6,1
33,Jeff Ballard*,Texas Christian,MWC,10,139,232,59.9,1801,7.8,7.5,13,7,137.6,93,314,3.4,8
34,Matt Ryan*,Boston College,ACC,10,121,195,62.1,1514,7.8,7.4,8,5,135.7,37,94,2.5,5
35,James Pinkney,East Carolina,CUSA,11,222,366,60.7,2773,7.6,7.4,14,8,132.5,95,193,2,7
36,Matt Moore,Oregon State,Pac-10,10,211,355,59.4,2711,7.6,5.8,11,19,123.1,61,-100,-1.6,3
37,Michael Robinson*,Penn State,Big Ten,12,162,311,52.1,2350,7.6,7.2,17,10,127.2,163,806,4.9,11
38,Brandon Cox*,Auburn,SEC,11,177,306,57.8,2324,7.6,7.4,15,8,132.6,44,-125,-2.8,0
39,Jeff Rowe*,Nevada,WAC,12,241,389,62,2925,7.5,7.4,21,10,137.8,119,244,2.1,6
40,Jared Zabransky*,Boise State,WAC,13,202,342,59.1,2562,7.5,6.4,18,16,130,107,262,2.4,11
41,Blake Mitchell*,South Carolina,SEC,11,186,315,59,2370,7.5,6.9,17,12,132.4,45,-130,-2.9,1
42,Brodie Croyle*,Alabama,SEC,12,202,339,59.6,2499,7.4,7.7,14,4,132.8,64,-156,-2.4,1
43,Bruce Gradkowski*,Toledo,MAC,11,207,332,62.3,2469,7.4,7.6,29,12,146.4,61,291,4.8,4
44,Reggie McNeal,Texas A&M,Big 12,10,141,265,53.2,1963,7.4,7.1,16,9,128.6,96,664,6.9,3
45,Brett Basanez*,Northwestern,Big Ten,12,314,497,63.2,3622,7.3,7.4,21,8,135.1,113,423,3.7,7
46,Josh Betts,Miami (OH),MAC,11,248,434,57.1,3178,7.3,7.2,27,13,133.2,44,-61,-1.4,1
47,Dustin Almond*,Southern Mississippi,CUSA,12,216,394,54.8,2860,7.3,7.1,23,12,129,36,-97,-2.7,2
48,Corey Bramlet,Wyoming,MWC,11,214,359,59.6,2610,7.3,5.9,16,18,125.4,82,109,1.3,3
49,Marques Hagans*,Virginia,ACC,12,213,343,62.1,2492,7.3,6.5,14,12,129.6,115,310,2.7,3
50,Charlie Whitehurst*,Clemson,ACC,11,229,340,67.4,2483,7.3,6.6,11,10,133.5,50,26,0.5,3
51,Nick Noce*,Arkansas State,Sun Belt,12,156,282,55.3,2052,7.3,6.5,12,10,123.4,125,236,1.9,5
52,Kole McKamey,New Mexico,MWC,9,144,231,62.3,1682,7.3,6.7,13,9,134.3,119,429,3.6,4
53,John Beck*,Brigham Young,MWC,12,331,513,64.5,3709,7.2,7.1,27,13,137.6,73,61,0.8,2
54,Trent Edwards,Stanford,Pac-10,11,168,268,62.7,1934,7.2,7.3,17,7,139,84,153,1.8,0
55,Kevin O'Connell,San Diego State,MWC,12,233,375,62.1,2663,7.1,6.7,19,12,132.1,140,402,2.9,5
56,Chris Leak*,Florida,SEC,12,235,374,62.8,2639,7.1,7.4,20,6,136.5,105,81,0.8,6
57,Matt Kubik,Louisiana Tech,WAC,11,171,312,54.8,2202,7.1,7.2,18,7,128.6,53,122,2.3,1
58,Tyler Palko,Pitt,Big East,11,193,341,56.6,2392,7,6.8,17,9,126.7,70,-139,-2,6
59,Clint Marks,Middle Tennessee State,Sun Belt,11,197,298,66.1,2083,7,6.5,8,7,129,69,-130,-1.9,2
60,Rick Clausen,Tennessee,SEC,9,120,209,57.4,1441,6.9,6.2,6,6,119.1,25,-30,-1.2,2
61,Drew Weatherford*,Florida State,ACC,13,276,469,58.8,3208,6.8,5.9,18,18,121.3,67,-28,-0.4,3
62,Steven Wichman,Idaho,WAC,11,226,401,56.4,2746,6.8,5.6,15,18,117.2,46,-199,-4.3,0
63,Matt Baker,North Carolina,ACC,11,180,346,52,2345,6.8,5.9,9,11,111.2,79,-34,-0.4,2
64,Leon Jackson III,Utah State,WAC,9,132,229,57.6,1547,6.8,6.3,8,6,120.7,136,328,2.4,1
65,Danny Embick,Florida Atlantic,Sun Belt,9,120,225,53.3,1531,6.8,5.8,11,10,117.7,89,228,2.6,2
66,Jay Cutler,Vanderbilt,SEC,11,273,462,59.1,3073,6.7,6.7,21,9,126.1,106,215,2,1
67,Kent Smith,Central Michigan,MAC,11,255,420,60.7,2799,6.7,6.8,16,6,126.4,157,443,2.8,7
68,Joel Klatt*,Colorado,Big 12,12,241,400,60.3,2696,6.7,6.5,14,8,124.4,54,3,0.1,0
69,Josh Padrick,Florida International,Sun Belt,11,221,366,60.4,2461,6.7,6.1,13,11,122.6,39,12,0.3,4
70,Joe Ayoob*,California,Pac-10,11,125,254,49.2,1707,6.7,5.4,15,14,114.1,58,58,1,5
71,Luke Getsy*,Akron,MAC,13,278,525,53,3455,6.6,6.4,23,12,118.1,56,-29,-0.5,1
72,Chad Henne*,Michigan,Big Ten,12,223,382,58.4,2526,6.6,6.9,23,8,129.6,54,25,0.5,1
73,Rhett Bomar*,Oklahoma,Big 12,12,167,308,54.2,2018,6.6,5.7,10,10,113.5,89,184,2.1,4
74,Andre Woodson,Kentucky,SEC,11,146,253,57.7,1644,6.5,5.9,6,6,115.4,57,-133,-2.3,1
75,Micheal Spurlock,Ole Miss,SEC,11,142,267,53.2,1703,6.4,5.4,7,9,108.7,51,-20,-0.4,2
76,Allan Evridge,Kansas State,Big 12,9,102,213,47.9,1365,6.4,5.5,6,7,104.4,102,203,2,4
77,Joey Lynch,Ball State,MAC,11,198,314,63.1,1982,6.3,6.5,18,7,130.5,86,-128,-1.5,0
78,Adam Tafralis,San Jose State,WAC,11,142,286,49.7,1810,6.3,5.5,11,10,108.5,47,100,2.1,3
79,Jerad Romo,SMU,CUSA,11,155,282,55,1781,6.3,5.8,9,7,113.6,103,174,1.7,3
80,Zac Taylor,Nebraska,Big 12,12,237,430,55.1,2653,6.2,5.8,19,12,115.9,76,-41,-0.5,1
81,Matt Bohnet,Eastern Michigan,MAC,10,220,351,62.7,2181,6.2,6.4,14,5,125.2,78,250,3.2,3
82,Zac Dahman,Army,Ind,11,168,299,56.2,1864,6.2,5,11,13,112,43,-127,-3,0
83,Blake Powers,Indiana,Big Ten,11,212,376,56.4,2305,6.1,5.4,22,16,118.7,100,121,1.2,4
84,Shawn Bell,Baylor,Big 12,10,190,320,59.4,1964,6.1,6,12,6,119.6,39,-58,-1.5,1
85,Lester Ricard,Tulane,CUSA,10,166,323,51.4,1932,6,5.3,16,12,110.6,36,-104,-2.9,0
86,Dustin Grutza,Cincinnati,Big East,11,168,300,56,1799,6,5.1,11,11,111.1,106,28,0.3,2
87,Drew Willy,Buffalo,MAC,10,149,246,60.6,1481,6,4.3,6,12,109.4,82,-32,-0.4,0
88,Steven Jyles,Louisiana-Monroe,Sun Belt,11,209,379,55.1,2235,5.9,5.3,12,10,109.9,139,436,3.1,9
89,Tim Brasic,Illinois,Big Ten,11,206,337,61.1,1979,5.9,5.1,11,11,114.7,151,420,2.8,3
90,Royal Gill,New Mexico State,WAC,10,195,328,59.5,1930,5.9,5.3,11,9,114.5,41,-157,-3.8,0
91,Pat Julmiste*,South Florida,Big East,12,124,252,49.2,1489,5.9,4.4,6,11,98,126,336,2.7,4
92,Mike McGann,Temple,Ind,11,122,250,48.8,1469,5.9,3.8,3,13,91.7,53,-55,-1,0
93,Brad Smith*,Missouri,Big 12,12,237,399,59.4,2304,5.8,5.4,13,9,114.1,229,1301,5.7,16
94,Reggie Ball*,Georgia Tech,ACC,11,182,379,48,2165,5.7,4.9,11,12,99.3,104,381,3.7,4
95,Michael Machen,Kent State,MAC,10,200,365,54.8,2078,5.7,4.1,11,18,102.7,60,-42,-0.7,0
96,Joey Vincent,New Mexico State,WAC,12,113,215,52.6,1219,5.7,3.7,6,12,98.2,60,166,2.8,0
97,Perry Patterson,Syracuse,Big East,11,130,273,47.6,1504,5.5,4.1,6,11,93.1,72,-37,-0.5,3
98,Curtis Painter,Purdue,Big Ten,9,89,170,52.4,932,5.5,4.5,3,5,98.3,52,251,4.8,4
99,Zack Asack,Duke,ACC,9,90,180,50,966,5.4,3.9,5,8,95.4,78,95,1.2,2
100,Omarr Conner,Mississippi State,SEC,11,86,167,51.5,903,5.4,5,8,5,106.7,44,-15,-0.3,0
101,Austen Everson,Ohio,MAC,11,105,220,47.7,1151,5.2,3.3,4,11,87.7,105,244,2.3,6
102,Bernard Morris,Marshall,CUSA,9,114,216,52.8,1121,5.2,4.5,6,6,100,75,256,3.4,4
103,Daniel Meager,North Texas,Sun Belt,11,101,202,50,941,4.7,3.3,4,8,87.7,62,68,1.1,1
